Serial_No,order_id,customer_id,order_date,Month,Category,total_amount,status,region,payment_method,Revenue_Check(IF),Region_VLookup
1362,4410,1321,2023-05-01,2023-05,North,966.66,Completed,North,Apple Pay,Valid,North
1363,562,1494,2023-05-02,2023-05,Unknown,"1,129.10",Completed,Unknown,Debit Card,Valid,Unknown
1364,797,7380,2023-05-02,2023-05,Unknown,"1,494.25",Returned,Unknown,Apple Pay,Valid,Unknown
1365,1235,8760,2023-05-02,2023-05,Central,406.33,Completed,Central,Credit Card,Valid,Central
1366,1479,6822,2023-05-02,2023-05,North,412.02,Completed,North,PayPal,Valid,North
1367,1743,897,2023-05-02,2023-05,East,"2,981.48",Completed,East,Apple Pay,Valid,East
1368,1923,1211,2023-05-02,2023-05,West,607.30,Completed,West,PayPal,Valid,West
1369,2053,9268,2023-05-02,2023-05,Central,"1,520.30",Completed,Central,Credit Card,Valid,Central
1370,2082,5375,2023-05-02,2023-05,East,602.61,Completed,East,Credit Card,Valid,East
1371,2888,9522,2023-05-02,2023-05,North,"5,617.47",Completed,North,PayPal,Valid,North
1372,3295,8464,2023-05-02,2023-05,Central,"3,292.73",Cancelled,Central,PayPal,Valid,Central
1373,3458,5162,2023-05-02,2023-05,Central,958.20,Completed,Central,PayPal,Valid,Central
1374,4049,8373,2023-05-02,2023-05,West,"1,629.76",Completed,West,Credit Card,Valid,West
1375,4088,7360,2023-05-02,2023-05,Central,"2,432.97",Completed,Central,Debit Card,Valid,Central
1376,993,8075,2023-05-03,2023-05,East,374.80,Completed,East,Credit Card,Valid,East
1377,1391,2473,2023-05-03,2023-05,Central,470.46,Completed,Central,Apple Pay,Valid,Central
1378,1630,9502,2023-05-03,2023-05,North,"4,256.50",Completed,North,PayPal,Valid,North
1379,2279,3682,2023-05-03,2023-05,North,132.23,Completed,North,Apple Pay,Valid,North
1380,2562,6329,2023-05-03,2023-05,Central,"2,156.29",Cancelled,Central,Credit Card,Valid,Central
1381,3265,1921,2023-05-03,2023-05,South,"2,881.98",Completed,South,Debit Card,Valid,South
1382,3482,3410,2023-05-03,2023-05,South,"1,257.96",Completed,South,Debit Card,Valid,South
1383,3821,6085,2023-05-03,2023-05,North,364.43,Completed,North,Debit Card,Valid,North
1384,4084,4661,2023-05-03,2023-05,Central,"1,247.76",Completed,Central,Debit Card,Valid,Central
1385,4825,7820,2023-05-03,2023-05,Central,"1,668.74",Completed,Central,PayPal,Valid,Central
1386,79,6297,2023-05-04,2023-05,East,941.99,Completed,East,Apple Pay,Valid,East
1387,297,4242,2023-05-04,2023-05,Unknown,"1,527.31",Completed,Unknown,Debit Card,Valid,Unknown
1388,1490,4526,2023-05-04,2023-05,South,"4,123.83",Completed,South,Credit Card,Valid,South
1389,1617,192,2023-05-04,2023-05,East,"3,064.42",Completed,East,Credit Card,Valid,East
1390,3286,5862,2023-05-04,2023-05,East,142.43,Completed,East,PayPal,Valid,East
1391,4277,3122,2023-05-04,2023-05,North,"3,697.74",Completed,North,Apple Pay,Valid,North
1392,4365,6726,2023-05-04,2023-05,East,"1,081.22",Completed,East,PayPal,Valid,East
1393,4665,190,2023-05-04,2023-05,East,"1,335.82",Completed,East,Apple Pay,Valid,East
1394,4928,8137,2023-05-04,2023-05,Central,"1,354.25",Completed,Central,PayPal,Valid,Central
1395,1205,9282,2023-05-05,2023-05,Central,"2,318.99",Completed,Central,Apple Pay,Valid,Central
1396,1564,4880,2023-05-05,2023-05,West,"1,077.84",Completed,West,PayPal,Valid,West
1397,2006,1312,2023-05-05,2023-05,Central,126.67,Completed,Central,Apple Pay,Valid,Central
1398,2065,6497,2023-05-05,2023-05,North,594.37,Completed,North,Debit Card,Valid,North
1399,2646,5644,2023-05-05,2023-05,South,"3,609.71",Completed,South,PayPal,Valid,South
1400,2930,9000,2023-05-05,2023-05,South,157.92,Completed,South,Debit Card,Valid,South
1401,3034,8217,2023-05-05,2023-05,South,662.52,Completed,South,Credit Card,Valid,South
1402,3428,426,2023-05-05,2023-05,West,949.36,Completed,West,PayPal,Valid,West
1403,3471,1402,2023-05-05,2023-05,East,772.53,Returned,East,Credit Card,Valid,East
1404,3730,9947,2023-05-05,2023-05,North,211.30,Completed,North,Apple Pay,Valid,North
1405,3987,3069,2023-05-05,2023-05,West,"1,777.25",Completed,West,PayPal,Valid,West
1406,4190,5343,2023-05-05,2023-05,Central,"1,786.27",Completed,Central,Apple Pay,Valid,Central
1407,4193,8828,2023-05-05,2023-05,East,"2,366.98",Completed,East,PayPal,Valid,East
1408,4282,2647,2023-05-05,2023-05,East,"1,293.47",Completed,East,Credit Card,Valid,East
1409,4755,2495,2023-05-05,2023-05,Central,"1,045.44",Completed,Central,PayPal,Valid,Central
1410,4895,4019,2023-05-05,2023-05,South,128.31,Completed,South,PayPal,Valid,South
1411,4979,1888,2023-05-05,2023-05,East,"1,152.21",Completed,East,Debit Card,Valid,East
1412,308,2133,2023-05-06,2023-05,South,"2,239.79",Completed,South,Debit Card,Valid,South
1413,2577,2686,2023-05-06,2023-05,West,466.97,Completed,West,PayPal,Valid,West
1414,2707,1857,2023-05-06,2023-05,Central,926.44,Completed,Central,Credit Card,Valid,Central
1415,2852,8223,2023-05-06,2023-05,East,682.52,Completed,East,PayPal,Valid,East
1416,3173,8288,2023-05-06,2023-05,Unknown,"1,129.45",Completed,Unknown,PayPal,Valid,Unknown
1417,3382,954,2023-05-06,2023-05,West,"2,403.41",Completed,West,Debit Card,Valid,West
1418,3832,3407,2023-05-06,2023-05,East,448.66,Completed,East,Apple Pay,Valid,East
1419,4003,5177,2023-05-06,2023-05,Unknown,"1,146.95",Completed,Unknown,PayPal,Valid,Unknown
1420,4383,9853,2023-05-06,2023-05,West,438.74,Completed,West,Debit Card,Valid,West
1421,4594,5644,2023-05-06,2023-05,South,"1,527.85",Completed,South,Debit Card,Valid,South
1422,4656,4945,2023-05-06,2023-05,Central,"1,071.23",Completed,Central,Debit Card,Valid,Central
1423,1133,90,2023-05-07,2023-05,East,"1,416.81",Completed,East,Credit Card,Valid,East
1424,1430,2279,2023-05-07,2023-05,South,138.34,Completed,South,Debit Card,Valid,South
1425,1522,53,2023-05-07,2023-05,South,159.92,Completed,South,Credit Card,Valid,South
1426,1917,3602,2023-05-07,2023-05,North,"1,527.99",Completed,North,Debit Card,Valid,North
1427,1922,2816,2023-05-07,2023-05,North,"2,772.37",Completed,North,Credit Card,Valid,North
1428,2434,349,2023-05-07,2023-05,East,"1,338.05",Completed,East,Credit Card,Valid,East
1429,2531,8463,2023-05-07,2023-05,North,798.94,Completed,North,Debit Card,Valid,North
1430,3008,2491,2023-05-07,2023-05,East,"1,279.61",Completed,East,PayPal,Valid,East
1431,4270,5833,2023-05-07,2023-05,North,818.94,Completed,North,PayPal,Valid,North
1432,4540,3712,2023-05-07,2023-05,North,"1,429.65",Completed,North,Debit Card,Valid,North
1433,11,1180,2023-05-08,2023-05,Central,"1,217.05",Completed,Central,Credit Card,Valid,Central
1434,1186,8897,2023-05-08,2023-05,Central,88.32,Completed,Central,PayPal,Valid,Central
1435,1730,9555,2023-05-08,2023-05,East,"1,521.05",Completed,East,Apple Pay,Valid,East
1436,1839,8713,2023-05-08,2023-05,East,529.04,Completed,East,Credit Card,Valid,East
1437,2942,4622,2023-05-08,2023-05,Central,888.93,Completed,Central,Credit Card,Valid,Central
1438,3334,3236,2023-05-08,2023-05,South,312.74,Completed,South,Debit Card,Valid,South
1439,3852,4246,2023-05-08,2023-05,North,815.03,Completed,North,Credit Card,Valid,North
1440,3964,3943,2023-05-08,2023-05,North,"1,072.43",Completed,North,PayPal,Valid,North
1441,4217,3731,2023-05-08,2023-05,East,"3,179.05",Completed,East,Debit Card,Valid,East
1442,4412,8438,2023-05-08,2023-05,Central,299.56,Completed,Central,Apple Pay,Valid,Central
1443,4702,1784,2023-05-08,2023-05,West,623.01,Completed,West,PayPal,Valid,West
1444,89,9679,2023-05-09,2023-05,West,"1,129.10",Completed,West,Debit Card,Valid,West
1445,361,3585,2023-05-09,2023-05,West,217.22,Completed,West,Credit Card,Valid,West
1446,1095,1630,2023-05-09,2023-05,West,422.60,Completed,West,Apple Pay,Valid,West
1447,1304,4813,2023-05-09,2023-05,East,696.70,Completed,East,Apple Pay,Valid,East
1448,2059,4340,2023-05-09,2023-05,East,"1,126.52",Completed,East,Debit Card,Valid,East
1449,2181,7846,2023-05-09,2023-05,West,"2,598.38",Completed,West,Apple Pay,Valid,West
1450,2975,723,2023-05-09,2023-05,East,"2,843.60",Completed,East,PayPal,Valid,East
1451,3081,7032,2023-05-09,2023-05,West,250.59,Completed,West,Credit Card,Valid,West
1452,3315,8183,2023-05-09,2023-05,West,798.99,Completed,West,Credit Card,Valid,West
1453,4091,1480,2023-05-09,2023-05,North,265.95,Completed,North,PayPal,Valid,North
1454,4147,5070,2023-05-09,2023-05,East,291.25,Completed,East,PayPal,Valid,East
1455,4382,1929,2023-05-09,2023-05,North,442.46,Completed,North,Debit Card,Valid,North
1456,4823,356,2023-05-09,2023-05,South,"2,377.88",Cancelled,South,PayPal,Valid,South
1457,4893,3741,2023-05-09,2023-05,West,"1,016.65",Completed,West,Debit Card,Valid,West
1458,749,390,2023-05-10,2023-05,Central,948.30,Completed,Central,PayPal,Valid,Central
1459,894,4639,2023-05-10,2023-05,North,315.29,Completed,North,PayPal,Valid,North
1460,1635,5454,2023-05-10,2023-05,North,548.39,Completed,North,PayPal,Valid,North
1461,2032,9349,2023-05-10,2023-05,West,270.86,Completed,West,Apple Pay,Valid,West
1462,2420,4087,2023-05-10,2023-05,West,"2,021.12",Completed,West,Debit Card,Valid,West
1463,4082,3678,2023-05-10,2023-05,East,"1,841.33",Completed,East,Credit Card,Valid,East
1464,4947,7028,2023-05-10,2023-05,Central,"1,951.38",Completed,Central,PayPal,Valid,Central
1465,118,4625,2023-05-11,2023-05,North,352.84,Completed,North,PayPal,Valid,North
1466,513,2118,2023-05-11,2023-05,East,"1,860.20",Completed,East,Debit Card,Valid,East
1467,1904,2878,2023-05-11,2023-05,Central,439.45,Completed,Central,Credit Card,Valid,Central
1468,2393,3286,2023-05-11,2023-05,North,145.02,Completed,North,PayPal,Valid,North
1469,2595,8781,2023-05-11,2023-05,Central,526.08,Completed,Central,Debit Card,Valid,Central
1470,3079,5897,2023-05-11,2023-05,West,395.52,Completed,West,Debit Card,Valid,West
1471,3716,2698,2023-05-11,2023-05,South,"1,803.02",Completed,South,Credit Card,Valid,South
1472,3804,5273,2023-05-11,2023-05,North,"1,227.50",Completed,North,Credit Card,Valid,North
1473,4008,7297,2023-05-11,2023-05,West,952.01,Completed,West,Credit Card,Valid,West
1474,4498,9317,2023-05-11,2023-05,Central,100.33,Completed,Central,Apple Pay,Valid,Central
1475,4563,8516,2023-05-11,2023-05,South,"3,115.81",Completed,South,Credit Card,Valid,South
1476,4842,9785,2023-05-11,2023-05,North,"3,340.80",Completed,North,Credit Card,Valid,North
1477,347,5923,2023-05-12,2023-05,East,"1,579.22",Completed,East,Apple Pay,Valid,East
1478,1215,7832,2023-05-12,2023-05,Central,"1,860.20",Completed,Central,Debit Card,Valid,Central
1479,1668,427,2023-05-12,2023-05,East,815.03,Completed,East,PayPal,Valid,East
1480,2136,6880,2023-05-12,2023-05,South,226.13,Completed,South,Apple Pay,Valid,South
1481,2291,306,2023-05-12,2023-05,Central,"1,858.78",Completed,Central,PayPal,Valid,Central
1482,2352,7828,2023-05-12,2023-05,South,245.09,Completed,South,Apple Pay,Valid,South
1483,2662,6017,2023-05-12,2023-05,Central,607.05,Completed,Central,PayPal,Valid,Central
1484,3686,3841,2023-05-12,2023-05,South,"1,374.61",Completed,South,Debit Card,Valid,South
1485,3980,3078,2023-05-12,2023-05,South,"3,733.87",Completed,South,PayPal,Valid,South
1486,4064,5771,2023-05-12,2023-05,North,"1,056.52",Returned,North,Credit Card,Valid,North
1487,138,3846,2023-05-13,2023-05,East,"4,140.13",Completed,East,Debit Card,Valid,East
1488,144,5701,2023-05-13,2023-05,North,"1,365.96",Completed,North,Apple Pay,Valid,North
1489,216,9954,2023-05-13,2023-05,West,"4,237.72",Completed,West,Credit Card,Valid,West
1490,375,1396,2023-05-13,2023-05,West,"3,288.53",Completed,West,Credit Card,Valid,West
1491,527,1807,2023-05-13,2023-05,South,"1,832.38",Completed,South,Credit Card,Valid,South
1492,1523,1710,2023-05-13,2023-05,South,594.37,Completed,South,PayPal,Valid,South
1493,2020,3304,2023-05-13,2023-05,North,304.87,Completed,North,Debit Card,Valid,North
1494,2106,6106,2023-05-13,2023-05,South,"1,547.95",Completed,South,PayPal,Valid,South
1495,2146,5360,2023-05-13,2023-05,South,329.52,Completed,South,Credit Card,Valid,South
1496,2961,2861,2023-05-13,2023-05,North,858.98,Completed,North,Credit Card,Valid,North
1497,2978,5729,2023-05-13,2023-05,South,943.91,Completed,South,PayPal,Valid,South
1498,3143,1265,2023-05-13,2023-05,Central,"1,961.90",Completed,Central,Debit Card,Valid,Central
1499,3760,3574,2023-05-13,2023-05,North,180.47,Completed,North,Debit Card,Valid,North
1500,3906,1485,2023-05-13,2023-05,East,426.73,Completed,East,Debit Card,Valid,East
1501,4129,6195,2023-05-13,2023-05,East,84.52,Completed,East,Credit Card,Valid,East
1502,1387,7712,2023-05-14,2023-05,West,142.43,Completed,West,Credit Card,Valid,West
1503,1672,404,2023-05-14,2023-05,East,159.92,Completed,East,PayPal,Valid,East
1504,1810,8742,2023-05-14,2023-05,West,"1,294.99",Completed,West,Credit Card,Valid,West
1505,2061,3284,2023-05-14,2023-05,East,"1,161.80",Completed,East,Debit Card,Valid,East
1506,2508,6655,2023-05-14,2023-05,North,"1,922.15",Completed,North,PayPal,Valid,North
1507,2726,9820,2023-05-14,2023-05,West,"2,171.33",Completed,West,Credit Card,Valid,West
1508,2899,9584,2023-05-14,2023-05,North,299.56,Completed,North,Credit Card,Valid,North
1509,3095,5337,2023-05-14,2023-05,North,781.25,Completed,North,Apple Pay,Valid,North
1510,3275,4208,2023-05-14,2023-05,Central,"1,717.35",Completed,Central,PayPal,Valid,Central
1511,3705,5448,2023-05-14,2023-05,Central,971.04,Completed,Central,Apple Pay,Valid,Central
1512,4451,4466,2023-05-14,2023-05,Central,667.02,Completed,Central,Credit Card,Valid,Central
1513,4474,4326,2023-05-14,2023-05,West,570.94,Completed,West,Debit Card,Valid,West
1514,4902,7187,2023-05-14,2023-05,East,"2,096.57",Completed,East,Credit Card,Valid,East
1515,198,5882,2023-05-15,2023-05,West,428.96,Completed,West,Debit Card,Valid,West
1516,1151,7279,2023-05-15,2023-05,South,968.43,Completed,South,Apple Pay,Valid,South
1517,1648,7736,2023-05-15,2023-05,South,739.73,Completed,South,Apple Pay,Valid,South
1518,1706,7011,2023-05-15,2023-05,Central,359.28,Completed,Central,Credit Card,Valid,Central
1519,2134,5771,2023-05-15,2023-05,North,"1,126.59",Completed,North,Credit Card,Valid,North
1520,2135,7101,2023-05-15,2023-05,West,"1,836.14",Completed,West,PayPal,Valid,West
1521,2982,9705,2023-05-15,2023-05,East,"1,502.76",Completed,East,Credit Card,Valid,East
1522,3138,9073,2023-05-15,2023-05,North,"1,417.10",Completed,North,Credit Card,Valid,North
1523,3779,1679,2023-05-15,2023-05,Central,"2,105.51",Completed,Central,Credit Card,Valid,Central
1524,4661,3548,2023-05-15,2023-05,West,258.66,Completed,West,Apple Pay,Valid,West
1525,4869,4985,2023-05-15,2023-05,West,762.88,Completed,West,PayPal,Valid,West
1526,4962,4712,2023-05-15,2023-05,South,"1,323.72",Completed,South,Credit Card,Valid,South
1527,339,6815,2023-05-16,2023-05,Central,"1,872.99",Completed,Central,Debit Card,Valid,Central
1528,579,9052,2023-05-16,2023-05,South,"1,202.38",Cancelled,South,Apple Pay,Valid,South
1529,866,604,2023-05-16,2023-05,East,777.03,Completed,East,Apple Pay,Valid,East
1530,956,2504,2023-05-16,2023-05,South,"1,762.22",Completed,South,Apple Pay,Valid,South
1531,1195,7467,2023-05-16,2023-05,North,997.47,Completed,North,Credit Card,Valid,North
1532,1465,1797,2023-05-16,2023-05,North,"5,428.11",Completed,North,Apple Pay,Valid,North
1533,2155,6261,2023-05-16,2023-05,Central,360.28,Completed,Central,Credit Card,Valid,Central
1534,2587,5355,2023-05-16,2023-05,East,788.31,Completed,East,Credit Card,Valid,East
1535,3654,8898,2023-05-16,2023-05,Central,437.93,Completed,Central,Apple Pay,Valid,Central
1536,3889,606,2023-05-16,2023-05,West,"8,913.69",Completed,West,PayPal,Valid,West
1537,4515,1262,2023-05-16,2023-05,Central,"4,297.60",Completed,Central,Apple Pay,Valid,Central
1538,4875,4953,2023-05-16,2023-05,East,84.52,Completed,East,Credit Card,Valid,East
1539,1320,2591,2023-05-17,2023-05,East,"4,279.35",Completed,East,PayPal,Valid,East
1540,2452,7326,2023-05-17,2023-05,East,"4,077.46",Completed,East,Debit Card,Valid,East
1541,2811,1047,2023-05-17,2023-05,North,"2,790.71",Completed,North,PayPal,Valid,North
1542,3126,9164,2023-05-17,2023-05,South,"2,173.52",Completed,South,Apple Pay,Valid,South
1543,3179,1627,2023-05-17,2023-05,East,854.94,Completed,East,Credit Card,Valid,East
1544,3350,2074,2023-05-17,2023-05,North,528.79,Completed,North,Debit Card,Valid,North
1545,4195,3899,2023-05-17,2023-05,West,"1,928.04",Completed,West,Credit Card,Valid,West
1546,4802,3101,2023-05-17,2023-05,Central,"2,292.20",Completed,Central,Debit Card,Valid,Central
1547,4900,4788,2023-05-17,2023-05,South,"1,257.96",Completed,South,Credit Card,Valid,South
1548,432,1056,2023-05-18,2023-05,West,"1,164.17",Completed,West,Debit Card,Valid,West
1549,466,8722,2023-05-18,2023-05,West,"1,946.80",Completed,West,Apple Pay,Valid,West
1550,775,8801,2023-05-18,2023-05,West,628.59,Completed,West,Apple Pay,Valid,West
1551,1222,2652,2023-05-18,2023-05,East,235.13,Completed,East,PayPal,Valid,East
1552,1298,6872,2023-05-18,2023-05,North,549.91,Completed,North,Credit Card,Valid,North
1553,1555,9038,2023-05-18,2023-05,North,156.65,Completed,North,Credit Card,Valid,North
1554,2193,8200,2023-05-18,2023-05,South,834.79,Completed,South,Credit Card,Valid,South
1555,2895,7302,2023-05-18,2023-05,Central,"1,230.71",Completed,Central,Debit Card,Valid,Central
1556,4658,5073,2023-05-18,2023-05,South,"2,902.06",Completed,South,PayPal,Valid,South
1557,4808,7148,2023-05-18,2023-05,South,981.14,Completed,South,Credit Card,Valid,South
1558,285,4732,2023-05-19,2023-05,North,"1,008.02",Completed,North,Debit Card,Valid,North
1559,646,2311,2023-05-19,2023-05,South,"2,677.59",Cancelled,South,PayPal,Valid,South
1560,1765,4676,2023-05-19,2023-05,South,"1,930.21",Cancelled,South,Credit Card,Valid,South
1561,2241,8325,2023-05-19,2023-05,South,914.09,Completed,South,Debit Card,Valid,South
1562,4103,4713,2023-05-19,2023-05,South,"2,162.63",Completed,South,Credit Card,Valid,South
1563,661,3176,2023-05-20,2023-05,North,534.69,Completed,North,Debit Card,Valid,North
1564,865,6923,2023-05-20,2023-05,North,"3,962.55",Completed,North,PayPal,Valid,North
1565,1084,8243,2023-05-20,2023-05,Central,"2,889.79",Completed,Central,Debit Card,Valid,Central
1566,1809,2422,2023-05-20,2023-05,East,"1,479.17",Completed,East,Credit Card,Valid,East
1567,2816,5581,2023-05-20,2023-05,West,534.49,Completed,West,Apple Pay,Valid,West
1568,2865,652,2023-05-20,2023-05,North,"1,789.35",Completed,North,Apple Pay,Valid,North
1569,2937,3618,2023-05-20,2023-05,South,"1,816.72",Returned,South,Apple Pay,Valid,South
1570,4425,8878,2023-05-20,2023-05,South,683.28,Completed,South,PayPal,Valid,South
1571,4929,2140,2023-05-20,2023-05,East,"1,766.06",Completed,East,PayPal,Valid,East
1572,723,8740,2023-05-21,2023-05,West,"4,290.53",Completed,West,Apple Pay,Valid,West
1573,868,155,2023-05-21,2023-05,Central,619.41,Completed,Central,Credit Card,Valid,Central
1574,1175,3947,2023-05-21,2023-05,East,359.28,Completed,East,Debit Card,Valid,East
1575,1408,6950,2023-05-21,2023-05,South,941.19,Completed,South,Debit Card,Valid,South
1576,1476,3963,2023-05-21,2023-05,Central,921.38,Completed,Central,Apple Pay,Valid,Central
1577,1675,5221,2023-05-21,2023-05,Central,618.93,Completed,Central,Debit Card,Valid,Central
1578,1818,1177,2023-05-21,2023-05,Unknown,"1,520.26",Completed,Unknown,Apple Pay,Valid,Unknown
1579,2417,9000,2023-05-21,2023-05,South,228.45,Completed,South,Apple Pay,Valid,South
1580,4102,154,2023-05-21,2023-05,East,503.24,Completed,East,Credit Card,Valid,East
1581,4492,9665,2023-05-21,2023-05,South,"1,021.87",Completed,South,Debit Card,Valid,South
1582,4730,1119,2023-05-21,2023-05,Central,428.94,Completed,Central,PayPal,Valid,Central
1583,817,3998,2023-05-22,2023-05,South,"1,995.72",Completed,South,Credit Card,Valid,South
1584,1300,6672,2023-05-22,2023-05,West,"1,463.58",Completed,West,Apple Pay,Valid,West
1585,1599,646,2023-05-22,2023-05,East,318.02,Completed,East,Debit Card,Valid,East
1586,2391,3736,2023-05-22,2023-05,East,"2,589.69",Cancelled,East,PayPal,Valid,East
1587,4708,2245,2023-05-22,2023-05,East,256.17,Completed,East,Debit Card,Valid,East
1588,4814,8260,2023-05-22,2023-05,South,883.28,Completed,South,Debit Card,Valid,South
1589,1021,9372,2023-05-23,2023-05,North,"2,552.38",Completed,North,PayPal,Valid,North
1590,2071,1829,2023-05-23,2023-05,East,254.46,Completed,East,Credit Card,Valid,East
1591,3002,236,2023-05-23,2023-05,Central,"1,152.75",Completed,Central,PayPal,Valid,Central
1592,3132,4591,2023-05-23,2023-05,South,"1,703.41",Completed,South,PayPal,Valid,South
1593,3568,1225,2023-05-23,2023-05,West,"1,241.17",Completed,West,Credit Card,Valid,West
1594,3614,2570,2023-05-23,2023-05,North,759.37,Completed,North,Debit Card,Valid,North
1595,4642,5360,2023-05-23,2023-05,South,"1,883.98",Completed,South,PayPal,Valid,South
1596,139,8004,2023-05-24,2023-05,West,132.48,Completed,West,Apple Pay,Valid,West
1597,357,824,2023-05-24,2023-05,North,931.48,Completed,North,PayPal,Valid,North
1598,676,5338,2023-05-24,2023-05,East,276.75,Completed,East,Apple Pay,Valid,East
1599,697,8111,2023-05-24,2023-05,South,"1,373.19",Completed,South,Apple Pay,Valid,South
1600,1157,3984,2023-05-24,2023-05,West,"1,126.52",Completed,West,Debit Card,Valid,West
1601,2334,9630,2023-05-24,2023-05,West,"2,125.32",Completed,West,PayPal,Valid,West
1602,2985,5422,2023-05-24,2023-05,South,955.75,Completed,South,PayPal,Valid,South
1603,3169,6249,2023-05-24,2023-05,West,395.52,Completed,West,Apple Pay,Valid,West
1604,3263,9009,2023-05-24,2023-05,East,"1,185.27",Completed,East,Debit Card,Valid,East
1605,3583,4532,2023-05-24,2023-05,East,"1,148.00",Completed,East,Debit Card,Valid,East
1606,3864,4538,2023-05-24,2023-05,North,"2,802.09",Completed,North,Credit Card,Valid,North
1607,4449,9933,2023-05-24,2023-05,East,638.10,Completed,East,Credit Card,Valid,East
1608,4721,5027,2023-05-24,2023-05,South,556.62,Completed,South,Debit Card,Valid,South
1609,199,8953,2023-05-25,2023-05,West,409.78,Completed,West,Debit Card,Valid,West
1610,1739,9328,2023-05-25,2023-05,West,435.69,Completed,West,Credit Card,Valid,West
1611,1942,6854,2023-05-25,2023-05,West,968.43,Completed,West,Apple Pay,Valid,West
1612,2626,4728,2023-05-25,2023-05,North,"1,093.21",Completed,North,Debit Card,Valid,North
1613,2886,217,2023-05-25,2023-05,Central,198.89,Completed,Central,Credit Card,Valid,Central
1614,3975,7426,2023-05-25,2023-05,East,"3,034.04",Completed,East,Apple Pay,Valid,East
1615,4280,3493,2023-05-25,2023-05,East,96.07,Completed,East,PayPal,Valid,East
1616,792,5341,2023-05-26,2023-05,West,371.68,Completed,West,PayPal,Valid,West
1617,837,7155,2023-05-26,2023-05,West,387.61,Cancelled,West,Apple Pay,Valid,West
1618,841,8044,2023-05-26,2023-05,North,957.41,Completed,North,Apple Pay,Valid,North
1619,1086,7748,2023-05-26,2023-05,West,"1,936.62",Completed,West,PayPal,Valid,West
1620,1614,4214,2023-05-26,2023-05,East,154.02,Completed,East,Apple Pay,Valid,East
1621,1787,3420,2023-05-26,2023-05,North,"2,704.53",Completed,North,Debit Card,Valid,North
1622,1813,2444,2023-05-26,2023-05,South,"1,407.42",Completed,South,Debit Card,Valid,South
1623,2067,6514,2023-05-26,2023-05,North,867.64,Completed,North,Credit Card,Valid,North
1624,2442,9072,2023-05-26,2023-05,South,"1,838.14",Cancelled,South,PayPal,Valid,South
1625,2503,2231,2023-05-26,2023-05,South,574.91,Completed,South,Credit Card,Valid,South
1626,3274,9923,2023-05-26,2023-05,North,954.37,Completed,North,Apple Pay,Valid,North
1627,4014,8991,2023-05-26,2023-05,West,"1,532.85",Completed,West,Debit Card,Valid,West
1628,4207,7930,2023-05-26,2023-05,North,"1,033.01",Completed,North,PayPal,Valid,North
1629,4264,9755,2023-05-26,2023-05,East,921.42,Completed,East,PayPal,Valid,East
1630,4319,187,2023-05-26,2023-05,South,"1,182.51",Completed,South,Apple Pay,Valid,South
1631,4616,1245,2023-05-26,2023-05,East,528.58,Cancelled,East,Credit Card,Valid,East
1632,4650,5139,2023-05-26,2023-05,Central,"3,880.45",Completed,Central,PayPal,Valid,Central
1633,550,5662,2023-05-27,2023-05,West,"1,320.06",Completed,West,PayPal,Valid,West
1634,830,4211,2023-05-27,2023-05,North,260.57,Completed,North,PayPal,Valid,North
1635,982,1242,2023-05-27,2023-05,West,264.46,Completed,West,Credit Card,Valid,West
1636,1132,6070,2023-05-27,2023-05,South,"3,602.11",Completed,South,Apple Pay,Valid,South
1637,1351,3722,2023-05-27,2023-05,Central,"2,815.97",Completed,Central,PayPal,Valid,Central
1638,1937,1842,2023-05-27,2023-05,West,456.90,Completed,West,PayPal,Valid,West
1639,2300,1826,2023-05-27,2023-05,Unknown,"2,909.80",Completed,Unknown,Credit Card,Valid,Unknown
1640,2699,2501,2023-05-27,2023-05,Central,"5,981.37",Completed,Central,Apple Pay,Valid,Central
1641,2872,9906,2023-05-27,2023-05,East,325.76,Completed,East,Apple Pay,Valid,East
1642,3227,2160,2023-05-27,2023-05,West,"8,646.86",Completed,West,Debit Card,Valid,West
1643,4074,690,2023-05-27,2023-05,West,"1,071.23",Cancelled,West,PayPal,Valid,West
1644,4488,8084,2023-05-27,2023-05,South,644.44,Completed,South,Apple Pay,Valid,South
1645,4754,4138,2023-05-27,2023-05,South,667.02,Completed,South,Credit Card,Valid,South
1646,4952,5017,2023-05-27,2023-05,West,141.24,Completed,West,Apple Pay,Valid,West
1647,1243,7520,2023-05-28,2023-05,East,"1,394.16",Completed,East,Credit Card,Valid,East
1648,1607,8982,2023-05-28,2023-05,North,870.02,Completed,North,Apple Pay,Valid,North
1649,2196,3164,2023-05-28,2023-05,North,"2,461.93",Completed,North,Apple Pay,Valid,North
1650,3111,3960,2023-05-28,2023-05,East,751.38,Completed,East,Apple Pay,Valid,East
1651,3364,7235,2023-05-28,2023-05,Central,564.26,Completed,Central,PayPal,Valid,Central
1652,3435,4031,2023-05-28,2023-05,South,"1,151.87",Completed,South,Credit Card,Valid,South
1653,3615,4965,2023-05-28,2023-05,Central,"2,969.84",Completed,Central,Debit Card,Valid,Central
1654,3880,7699,2023-05-28,2023-05,East,376.78,Completed,East,Apple Pay,Valid,East
1655,4061,229,2023-05-28,2023-05,South,702.39,Completed,South,Debit Card,Valid,South
1656,4698,5120,2023-05-28,2023-05,East,580.00,Completed,East,Credit Card,Valid,East
1657,75,574,2023-05-29,2023-05,West,"2,150.85",Completed,West,PayPal,Valid,West
